srians	Fe	RBAave	RBAr630
BS0380	0	0.4561	0.6536
BS0381	0	0.4822	0.6536
BS0382	0	0.0642	0.6536
BS0383	0	0.0591	0.6536
BS0384	0	0.0498	0.6536
BS0385	0	0.382	0.6536
BS0386	0	0.0497	0.6536
BS0387	0	0.4276	0.6536
BS0388	0	0.418	0.6536
BS0389	0	0.4576	0.6536
BS0390	0	0.4452	0.6536
BS0391	0	0.0505	0.6536
BS0392	0	0.4712	0.6536
BS0393	0	0.0496	0.6536
BS0394	0	0.4356	0.6536
BS0395	0	0.3606	0.6536
BS0396	0	0.3881	0.6536
BS0397	0	0.0554	0.6536
BS0398	0	0.4025	0.6536
BS0399	0	0.364	0.6536
BS0400	0	0.4442	0.6536
BS0401	0	0.4132	0.6536
BS0402	0	0.0575	0.6536
BS0403	0	0.4235	0.6536
BS0404	0	0.466	0.6536
BS0405	0	0.5031	0.6536
BS0406	0	0.0588	0.6536
BS0407	0	0.3598	0.6536
BS0408	0	0.0591	0.6536
BS0409	0	0.3272	0.6536
BS0410	0	0.0511	0.6536
BS0411	0	0.3799	0.6536
BS0412	0	0.0509	0.6536
BS0413	0	0.0722	0.6536
BS0414	0	0.1756	0.6536
BS0415	0	0.1203	0.6536
BS0416	0	0.4341	0.6536
BS0417	0	0.0595	0.6536
BS0418	0	0.0642	0.6536
BS0419	0	0.0597	0.6536
BS0420	0	0.0547	0.6536
BS0421	0	0.0571	0.6536
BS0422	0	0.379	0.6536
BS0423	0	0.0605	0.6536
BS0424	0	0.4549	0.6536
BS0425	0	0.3038	0.6536
BS0426	0	0.5408	0.6536
BS0427	0	0.5515	0.6536
BS0428	0	0.4059	0.6536
BS0429	0	0.3517	0.6536
BS0430	0	0.0596	0.6536
BS0431	0	0.3443	0.6536
BS0432	0	0.3988	0.6536
BS0433	0	0.4404	0.6536
BS0434	0	0.4788	0.6536
BS0435	0	0.2485	0.6536
BS0436	0	0.0499	0.6536
BS0437	0	0.0556	0.6536
BS0438	0	0.0571	0.6536
BS0439	0	0.2506	0.6536
BS0440	0	0.0637	0.6536
BS0441	0	0.447	0.6536
BS0442	0	0.0551	0.6536
BS0443	0	0.0568	0.6536
BS0444	0	0.0568	0.6536
BS0445	0	0.0439	0.6536
BS0446	0	0.4423	0.6536
BS0447	0	0.2529	0.6536
BS0448	0	0.3577	0.6536
BS0449	0	0.0564	0.6536
BS0450	0	0.0581	0.6536
BS0451	0	0.0585	0.6536
BS0452	0	0.0759	0.6536
BS0453	0	0.051	0.6536
BS0454	0	0.2017	0.6536
BS0455	0	0.3073	0.6536
BS0456	0	0.3081	0.6536
BS0457	0	0.2908	0.6536
BS0458	0	0.2094	0.6536
BS0459	0	0.3528	0.6536
BS0460	0	0.3351	0.6536
BS0461	0	0.504	0.6536
BS0462	0	0.067	0.6536
BS0463	0	0.4678	0.6536
BS0464	0	0.2449	0.6536
BS0465	0	0.4624	0.6536
BS0466	0	0.095	0.6536
BS0467	0	0.0745	0.6536
BS0468	0	0.4691	0.6536
BS0469	0	0.4515	0.6536
BS0470	0	0.041	0.6536
BS0471	0	0.3573	0.6536
BS0472	0	0.0572	0.6536
BS0473	0	0.4995	0.6536
BS0474	0	0.0606	0.6536
BS0475	0	0.3566	0.6536
BS0476	0	0.3133	0.6536
BS0477	0	0.4561	0.6536
BS0478	0	0.4522	0.6536
BS0479	0	0.1692	0.6536
BS0480	0	0.4613	0.6536
BS0481	0	0.0572	0.6536
BS0482	0	0.4358	0.6536
BS0483	0	0.0575	0.6536
BS0484	0	0.0641	0.6536
BS0485	0	0.0599	0.6536
BS0486	0	0.0532	0.6536
BS0487	0	0.0552	0.6536
BS0488	0	0.4074	0.6536
BS0489	0	0.4343	0.6536
BS0490	0	0.0566	0.6536
BS0491	0	0.0564	0.6536
BS0492	0	0.0568	0.6536
BS0493	0	0.0554	0.6536
BS0494	0	0.0582	0.6536
BS0495	0	0.0561	0.6536
BS0496	0	0.0565	0.6536
BS0497	0	0.165	0.6536
BS0498	0	0.2089	0.6536
BS0499	0	0.4499	0.6536
BS0500	0	0.0496	0.6536
BS0501	0	0.0575	0.6536
BS0502	0	0.0496	0.6536
BS0503	0	0.0569	0.6536
BS0504	0	0.0574	0.6536
BS0505	0	0.4501	0.6536
BS0506	0	0.2091	0.6536
BS0507	0	0.2894	0.6536
BS0508	0	0.4669	0.6536
BS0509	0	0.0443	0.6536
BS0510	0	0.062	0.6536
BS0511	0	0.0571	0.6536
BS0512	0	0.0567	0.6536
BS0513	0	0.068	0.6536
BS0514	0	0.0578	0.6536
BS0515	0	0.1391	0.6536
BS0516	0	0.351	0.6536
BS0517	0	0.3565	0.6536
BS0518	0	0.0565	0.6536
BS0519	0	0.0569	0.6536
BS0520	0	0.0498	0.6536
BS0521	0	0.0466	0.6536
BS0522	0	0.0626	0.6536
BS0523	0	0.0497	0.6536
BS0524	0	0.0552	0.6536
BS0525	0	0.0556	0.6536
BS0526	0	0.1021	0.6536
BS0527	0	0.0554	0.6536
BS0528	0	0.4445	0.6536
BS0529	0	0.2184	0.6536
BS0530	0	0.041	0.6536
BS0531	0	0.0509	0.6536
BS0532	0	0.4016	0.6536
BS0533	0	0.3979	0.6536
BS0534	0	0.3922	0.6536
BS0535	0	0.3939	0.6536
BS0536	0	0.3824	0.6536
BS0537	0	0.4048	0.6536
BS0538	0	0.4071	0.6536
BS0539	0	0.3954	0.6536
BS0540	0	0.3658	0.6536
BS0541	0	0.4061	0.6536
BS0542	0	0.4188	0.6536
BS0543	0	0.4277	0.6536
BS0544	0	0.4493	0.6536
BS0545	0	0.4491	0.6536
BS0546	0	0.4309	0.6536
BS0547	0	0.418	0.6536
BS0548	0	0.0534	0.6536
BS0549	0	0.0537	0.6536
BS0550	0	0.3563	0.6536
BS0551	0	0.4252	0.6536
BS0552	0	0.3983	0.6536
BS0553	0	0.3595	0.6536
BS0554	0	0.1219	0.6536
BS0555	0	0.456	0.6536
BS0556	0	0.4505	0.6536
BS0557	0	0.4094	0.6536
BS0558	0	0.0542	0.6536
BS0559	0	0.4362	0.6536
BS0560	0	0.0538	0.6536
BS0561	0	0.4189	0.6536
BS0562	0	0.3903	0.6536
BS0563	0	0.4405	0.6536
BS0564	0	0.3908	0.6536
BS0565	0	0.4593	0.6536
BS0566	0	0.4354	0.6536
BS0567	0	0.4173	0.6536
BS0568	0	0.4366	0.6536
BS0569	0	0.3576	0.6536
BS0570	0	0.4238	0.6536
BS0571	0	0.4084	0.6536
BS0572	0	0.087	0.6536
